artist,genres
halsey, dancepop electropop etherpop indiepoptimism pop popdance post-teenpop
zayn, dancepop pop popdance post-teenpop ukpop
bridgit mendler, dancepop pop post-teenpop socialmediapop viralpop
dnce, dancepop pop popdance poprock post-teenpop
pia mia, dancepop pop popdance popr&b post-teenpop r&b urbancontemporary
nick jonas, dancepop pop popdance poprock post-teenpop viralpop
madison beer, dancepop electropop pop popdance post-teenpop
rita ora, australianpop dancepop edm electropop pop popdance poprap post-teenpop tropicalhouse ukpop
hailee steinfeld, dancepop pop popdance post-teenpop
sabrina carpenter, dancepop electropop pop popdance post-teenpop
hannah montana, dancepop pop popdance post-teenpop socialmediapop
ex battalion, opm pinoyhiphop pinoyr&b tagalograp
john roa, opm
o.c. dawgs, opm pinoyhiphop pinoyr&b tagalograp
because, opm pinoyhiphop pinoyr&b pinoytrap tagalograp
just hush, opm pinoyr&b pinoytrap
al james, opm pinoyalternativerap pinoyhiphop pinoyr&b pinoytrap tagalograp
flow g, opm pinoyhiphop pinoyr&b tagalograp
kakaiboys, pinoyhiphop tagalograp
jom, opm pinoyr&b
crakky, pinoyhiphop tagalograp
mc einstein, pinoyhiphop tagalograp
taho, pinoyhiphop tagalograp
allmo$t, opm pinoyhiphop pinoyr&b tagalograp
cash koo, pinoyhiphop tagalograp
nik makino, pinoyhiphop pinoytrap tagalograp
jr crown, pinoyhiphop tagalograp
justrap, pinoyhiphop tagalograp
pdl, opm pinoyhiphop pinoyr&b
matthaios, opm pinoyhiphop tagalograp
renejayyy, pinoyhiphop tagalograp
the expendables, reggaerock westcoastreggae
iration, jawaiian reggaerock
slightly stoopid, reggaefusion reggaerock
long beach dub allstars, reggaerock ska skapunk
mike pinto, reggaerock westcoastreggae
ballyhoo!, reggaerock
rebelution, reggaerock
stick figure, reggaefusion
passafire, eastcoastreggae reggaerock
pepper, reggaefusion reggaerock
the green, jawaiian reggaerock
the holdup, jawaiian reggaefusion reggaerock
three legged fox, reggaerock westcoastreggae
the movement, eastcoastreggae jawaiian reggaefusion reggaerock
tribal seeds, reggae reggaerock rootsreggae westcoastreggae
bumpin uglies, eastcoastreggae reggaerock
tomorrows bad seeds, jawaiian reggaerock westcoastreggae
sublime with rome, reggaerock
soja, eastcoastreggae reggae
pacific dub, reggaerock westcoastreggae
zayn, dancepop pop popdance post-teenpop ukpop
shawn mendes, canadianpop pop post-teenpop viralpop
fifth harmony, dancepop electropop girlgroup pop popdance post-teenpop talentshow
camila cabello, dancepop electropop pop popdance post-teenpop
demi lovato, dancepop pop popdance post-teenpop
selena gomez, dancepop pop popdance post-teenpop
alessia cara, canadiancontemporaryr&b canadianpop dancepop electropop pop popdance post-teenpop
bazzi, dancepop electropop pop post-teenpop
niall horan, dancepop pop post-teenpop
zara larsson, dancepop edm electropop pop popdance post-teenpop scandipop swedishelectropop swedishpop tropicalhouse
liam payne, dancepop pop post-teenpop
the vamps, boyband dancepop pop post-teenpop
jonas brothers, boyband dancepop pop popdance poprock post-teenpop
khalid, alternativer&b pop
troye sivan, australianpop dancepop electropop pop popdance post-teenpop viralpop
julia michaels, dancepop electropop pop popdance post-teenpop
madison beer, dancepop electropop pop popdance post-teenpop
prettymuch, boyband dancepop pop post-teenpop socialmediapop
taylor swift, dancepop pop popdance
ruel, australianalternativepop electropop indiecafepop pop post-teenpop
jesper jenset, norwegianpop
broiler, nordichouse norwegianpop tropicalhouse
sonny alven, norwegianhouse norwegianpop tropicalhouse
madden, norwegianpop
julie bergan, norwegianpop swedishpop tropicalhouse
unge ferrari, norwegianindie norwegianpop norwegianpoprap scandinavianr&b
sandra lyng, norwegianpop
sjur, deeptropicalhouse scandipop tropicalhouse
ina wroldsen, norwegianpop
raaban, edm popdance popedm tropicalhouse
seeb, dancepop edm electrohouse electropop norwegianpop pop popdance popedm swedishpop tropicalhouse
kjartan lauritzen, norwegianindie norwegianpop norwegianpoprap
arif, nordnorskrap norwegianindie norwegianpop norwegianpoprap norwegiantrap
emilie nicolas, norwegianindie norwegianpop norwegiansinger-songwriter
freddy kalas, norwegianpop
hkeem, norwegianpop norwegianpoprap swedishreggae
sondre justad, nordnorskmusikk norgesstemme norwegianindie norwegianpop norwegiansinger-songwriter
mio, norwegianpop
cezinando, norwegianhiphop norwegianindie norwegianpop norwegianpoprap
morgan sulele, nordichouse norwegianpop
tom petty, albumrock classicrock countryrock folkrock heartlandrock mellowgold poprock rock rootsrock singer-songwriter softrock
traveling wilburys, albumrock artrock beatlesque bluesrock classicrock folkrock heartlandrock mellowgold rock rootsrock softrock supergroup
john mellencamp, albumrock classicrock countryrock folkrock heartlandrock mellowgold poprock rock singer-songwriter softrock
steve miller band, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold psychedelicrock rock rootsrock softrock
joe walsh, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock
mudcrutch, countryrock heartlandrock rootsrock
don henley, albumrock artrock classicrock countryrock folk folkrock heartlandrock mellowgold poprock rock rootsrock singer-songwriter softrock yachtrock
the j. geils band, albumrock bluesrock classicrock countryrock dancerock folkrock hardrock mellowgold rock rootsrock softrock
eddie money, albumrock classicrock countryrock folkrock hardrock mellowgold poprock rock softrock
warren zevon, classicrock countryrock folk folkrock heartlandrock mellowgold pianorock rock rootsrock singer-songwriter softrock traditionalfolk
bob seger, albumrock bluesrock classicrock countryrock detroitrock folkrock hardrock heartlandrock mellowgold rock softrock
bachman-turner overdrive, albumrock artrock bluesrock classiccanadianrock classicrock countryrock folkrock hardrock mellowgold rock softrock symphonicrock
the doobie brothers, albumrock artrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock yachtrock
peter frampton, albumrock artrock bluesrock britishblues classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock symphonicrock
the cars, albumrock artrock classicrock dancerock folkrock hardrock mellowgold newromantic newwave newwavepop permanentwave poprock powerpop rock softrock
billy squier, albumrock classicrock countryrock glammetal hardrock heartlandrock mellowgold rock softrock
jackson browne, albumrock classicrock countryrock folk folkrock heartlandrock mellowgold pianorock rock rootsrock singer-songwriter softrock
the band, albumrock bluesrock classiccanadianrock classicrock cosmicamerican countryrock folk folkrock heartlandrock jamband mellowgold psychedelicrock rock rootsrock softrock swamprock traditionalfolk
"crosby, stills & nash", albumrock artrock bluesrock classicrock countryrock folk folkrock heartlandrock mellowgold psychedelicrock rock rootsrock softrock
the marshall tucker band, albumrock bluesrock classicrock countryrock folkrock mellowgold rock rootsrock softrock southernrock
firefall, albumrock classicrock countryrock folkrock mellowgold softrock
seals and crofts, adultstandards albumrock bubblegumpop classicrock countryrock folk folkrock mellowgold softrock yachtrock
pablo cruise, countryrock folkrock mellowgold softrock yachtrock
gary wright, albumrock classicrock countryrock folkrock mellowgold softrock yachtrock
"hamilton, joe frank & reynolds", bubblegumpop softrock
bob welch, albumrock classicrock countryrock mellowgold softrock yachtrock
little river band, albumrock artrock australianrock classicrock countryrock folk folkrock mellowgold rock softrock yachtrock
ambrosia, adultstandards albumrock artrock classicrock countryrock folkrock mellowgold softrock yachtrock
player, softrock yachtrock
england dan & john ford coley, adultstandards bubblegumpop countryrock folkrock mellowgold softrock
paul davis, albumrock bubblegumpop countryrock folkrock mellowgold softrock yachtrock
nicolette larson, classicukpop countryrock mellowgold softrock yachtrock
captain & tennille, adultstandards brillbuildingpop bubblegumpop disco folk folkrock mellowgold softrock yachtrock
stephen bishop, adultstandards classicukpop countryrock folkrock mellowgold softrock yachtrock
dan fogelberg, adultstandards classicrock countryrock folk folkrock mellowgold softrock yachtrock
robbie dupree, softrock yachtrock
loggins & messina, classicrock countryrock folk folkrock mellowgold softrock
atlanta rhythm section, albumrock artrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock softrock southernrock yachtrock
looking glass, softrock sunshinepop
jefferson starship, albumrock artrock classicrock folkrock hardrock mellowgold rock softrock symphonicrock
thomas rhett, contemporarycountry country countryroad moderncountryrock
canaan smith, contemporarycountry country countrypop countryroad moderncountryrock redneck
kip moore, contemporarycountry country countrypop countryroad moderncountryrock
dustin lynch, contemporarycountry country countryroad moderncountryrock
brantley gilbert, contemporarycountry country countryroad moderncountryrock redneck
brothers osborne, contemporarycountry country countryroad moderncountryrock modernsouthernrock
rodney atkins, contemporarycountry country countryroad moderncountryrock
tyler farr, contemporarycountry country countrypop countryroad moderncountryrock redneck
frankie ballard, contemporarycountry country countryroad moderncountryrock
chris young, contemporarycountry country countryroad moderncountryrock
brett eldredge, adultstandards contemporarycountry country countryroad moderncountryrock
easton corbin, contemporarycountry country countryroad moderncountryrock
jake owen, contemporarycountry country countryroad moderncountryrock
florida georgia line, contemporarycountry country countrypop countryroad moderncountryrock
randy houser, contemporarycountry country countryroad moderncountryrock redneck
justin moore, arkansascountry contemporarycountry country countryroad moderncountryrock redneck
jason aldean, contemporarycountry country countryroad
josh turner, contemporarycountry country countryroad moderncountryrock
craig campbell, contemporarycountry country countrypop countryroad moderncountryrock redneck
cole swindell, contemporarycountry country countryroad moderncountryrock
naked eyes, dancerock mellowgold newromantic newwave newwavepop softrock synthpop
howard jones, artrock dancerock mellowgold newromantic newwave newwavepop softrock synthpop
corey hart, albumrock dancerock mellowgold newromantic newwave newwavepop softrock
thompson twins, dancerock mellowgold newromantic newwave newwavepop softrock synthpop
the power station, dancerock newromantic newwave newwavepop synthpop
berlin, dancerock newromantic newwave newwavepop softrock synthpop
the fixx, albumrock artrock classicrock dancerock mellowgold newromantic newwave newwavepop softrock
real life, dancerock newromantic newwave newwavepop synthpop
missing persons, albumrock dancerock newromantic newwave newwavepop synthpop
'til tuesday, bostonrock dancerock newromantic newwave newwavepop
the motels, albumrock dancerock mellowgold newromantic newwave newwavepop softrock synthpop
men without hats, classiccanadianrock dancerock newromantic newwave newwavepop synthpop
cutting crew, albumrock dancerock mellowgold newromantic newwave newwavepop softrock synthpop
kajagoogoo, dancerock newromantic newwave newwavepop synthpop
the romantics, albumrock dancerock mellowgold newromantic newwave newwavepop powerpop softrock
thomas dolby, artrock dancerock newromantic newwave newwavepop steampunk synthpop zolo
abc, artrock classicukpop dancerock newromantic newwave newwavepop softrock sophisti-pop synthpop
animotion, dancerock newromantic newwave newwavepop synthpop
mr. mister, albumrock dancerock mellowgold newromantic newwave newwavepop softrock synthpop
a flock of seagulls, dancerock newromantic newwave newwavepop synthpop
randy houser, contemporarycountry country countryroad moderncountryrock redneck
justin moore, arkansascountry contemporarycountry country countryroad moderncountryrock redneck
rodney atkins, contemporarycountry country countryroad moderncountryrock
easton corbin, contemporarycountry country countryroad moderncountryrock
chris young, contemporarycountry country countryroad moderncountryrock
david nail, contemporarycountry country countrypop countryroad moderncountryrock
dustin lynch, contemporarycountry country countryroad moderncountryrock
